recipe_id,name,category,cuisine,minutes,calories,tags
72,Súp Rau Củ Hầm,soup,Healthy,60,180,"vegetable,soup,healthy,vegan,light"
73,Bánh Yến Mạch Chuối,breakfast,Healthy,15,280,"oat,banana,breakfast,healthy,quick"
74,Cơm Gạo Lứt Ức Gà,main,Healthy,40,380,"brown_rice,chicken,healthy,protein,diet"
75,Sinh Tố Xanh Cải Bó Xôi,drink,Healthy,5,120,"spinach,smoothie,green,healthy,vegan"
76,Tiramisu,dessert,Italian,30,480,"dessert,coffee,cream,italian,no_bake"
77,Creme Brulee,dessert,French,60,420,"dessert,cream,caramel,french"
78,Bánh Flan Caramen,dessert,Vietnamese,45,280,"flan,dessert,caramel,egg,baked"
79,Panna Cotta Trái Cây,dessert,Italian,20,320,"dessert,cream,fruit,italian,no_bake"
80,Kem Mochi Nhân Đậu Đỏ,dessert,Japanese,60,250,"mochi,ice_cream,japanese,dessert"
81,Cà Phê Sữa Đá,drink,Vietnamese,5,180,"coffee,milk,iced,vietnamese,drink"
82,Trà Sữa Trân Châu,drink,Taiwanese,10,380,"bubble_tea,milk_tea,taiwanese,drink"
83,Sinh Tố Bơ,drink,Vietnamese,5,280,"avocado,smoothie,vietnamese,drink"
84,Nước Ép Cà Rốt Gừng,drink,Healthy,5,80,"carrot,ginger,juice,healthy,vegan"
85,Cocktail Mojito Không Cồn,drink,Western,5,120,"mocktail,mint,lime,drink,refreshing"
86,Hải Sản Nướng Muối Ớt,seafood,Vietnamese,30,380,"seafood,grilled,spicy,salt,chili"
87,Cua Rang Me,seafood,Vietnamese,40,420,"crab,tamarind,spicy,seafood"
88,Tôm Hùm Nướng Phô Mai,seafood,Western,45,580,"lobster,cheese,grilled,luxury,seafood"
89,Mực Nhồi Thịt Hấp,seafood,Vietnamese,40,320,"squid,stuffed,steamed,seafood"
90,Nghêu Hấp Xả,seafood,Vietnamese,20,180,"clam,steamed,lemongrass,quick"
91,Gà Rang Muối Mặn,main,Vietnamese,35,400,"chicken,fried,salty,crispy"
92,Vịt Nấu Chao,main,Vietnamese,60,520,"duck,fermented_tofu,braised"
93,Bò Sốt Vang Đỏ,main,Vietnamese-French,180,580,"beef,red_wine,braised,french"
94,Sườn Nướng BBQ,bbq,Western,120,650,"pork_ribs,bbq,grilled,american"
95,Gà Chiên Nước Mắm,main,Vietnamese,30,450,"chicken,fried,fish_sauce,sweet"
96,Thịt Nướng Xiên Que,bbq,Vietnamese,30,380,"pork,skewer,grilled,street"
97,Bánh Cuốn Hà Nội,breakfast,Vietnamese,30,280,"steamed_roll,pork,breakfast,hanoi"
98,Bánh Chưng Tết,traditional,Vietnamese,480,420,"sticky_rice,pork,traditional,tet,festive"
99,Xôi Gấc Đỏ,traditional,Vietnamese,60,380,"sticky_rice,gac_fruit,traditional,festive"
100,Bún Ốc Hà Nội,soup,Vietnamese,60,320,"snail,noodle,soup,hanoi,traditional"
101,Nấm Hầm Sả,vegetarian,Korean,30,354,"steamed,sour,chicken,noodle"
102,Cua Kho Dừa,breakfast,Chinese,60,727,"festive,low_carb,vegetable,noodle"
103,Tôm Hấp Tiêu,appetizer,Mexican,45,184,"romantic,sour,snack,tofu"
104,Nấm Xào Mè,healthy,Vietnamese,60,308,"vegetable,quick_lunch,sour,dessert"
105,Cua Nướng Dừa,breakfast,Vietnamese,45,232,"low_carb,vegan,salad,vegetarian"
106,Cua Hấp Tỏi,main,Vietnamese,20,585,"bread,sour,soup,baked"
107,Cá Xào Nước Mắm,noodle,Korean,120,515,"gluten_free,spicy,low_carb,salad"
108,Cá Hầm Gừng,noodle,American,10,234,"baked,bread,grilled,fried"
109,Bò Hấp Mè,appetizer,Korean,60,249,"low_carb,weekend,tofu,family"
110,Tôm Chiên Ớt,noodle,Korean,15,613,"pork,quick,festive,spicy"
111,Rau Nướng Nước Mắm,rice,Italian,60,495,"bread,vegetable,quick_lunch,sour"
112,Heo Xào Phô Mai,rice,American,30,418,"high_protein,seafood,fried,tofu"
113,Tôm Nướng Nước Mắm,salad,American,15,548,"bread,chicken,sweet,party"
114,Cá Rang Tiêu,healthy,Korean,40,541,"pork,bread,vegan,noodle"
115,Mực Sốt Sả,rice,Italian,30,453,"quick,mushroom,pork,gluten_free"
116,Heo Chiên Nước Mắm,dessert,French,45,772,"rice,quick,grilled,party"
117,Cua Nướng Tỏi,healthy,Thai,20,623,"salad,low_carb,chicken,bread"
118,Đậu Chiên Sả,soup,Japanese,40,177,"festive,healthy,spicy,bread"
119,Cá Rang Me,vegetarian,Mexican,40,298,"fried,rice,vegetarian,chicken"
120,Đậu Rang Gừng,appetizer,American,60,528,"weekend,vegetarian,vegetable,chicken"
121,Tôm Chiên Tiêu,vegetarian,French,20,590,"tet,snack,vegan,sweet"
122,Cua Nướng Tiêu,healthy,Vietnamese,15,437,"family,sweet,egg,quick"
123,Mực Chiên Tỏi,vegetarian,Italian,60,367,"vegan,steamed,festive,spicy"
124,Nấm Xào Tỏi,noodle,Indian,30,668,"pork,vegan,salad,spicy"
125,Nấm Nướng Sả,main,American,20,379,"beef,vegetable,sweet,weekend"
126,Tôm Hấp Phô Mai,healthy,Japanese,15,228,"steamed,baked,quick_lunch,sour"
127,Gà Hầm Gừng,noodle,Chinese,20,448,"spicy,egg,soup,gluten_free"
128,Cá Hấp Ớt,appetizer,American,120,112,"high_protein,noodle,fried,dairy_free"
129,Mực Sốt Dừa,main,Korean,20,554,"vegetable,chicken,tofu,festive"
130,Gà Hầm Tỏi,salad,Korean,20,111,"pork,weekend,grilled,family"
131,Nấm Kho Tỏi,noodle,Korean,45,442,"tofu,healthy,noodle,beef"
132,Mực Nướng Me,appetizer,Vietnamese,40,509,"bread,party,high_protein,vegetarian"
133,Cua Hầm Tỏi,dessert,Chinese,40,267,"tet,fried,soup,quick"
134,Mực Xào Sả,appetizer,Korean,40,162,"chicken,vegetarian,festive,soup"
135,Heo Xào Tỏi,healthy,French,90,175,"vegan,festive,high_protein,egg"
136,Nấm Hấp Tiêu,vegetarian,Japanese,45,614,"vegan,high_protein,tet,family"
137,Tôm Kho Nước Mắm,vegetarian,Chinese,20,237,"snack,dairy_free,vegetarian,chicken"
138,Heo Kho Sả,dessert,Indian,30,531,"rice,romantic,weekend,sweet"
139,Tôm Chiên Phô Mai,vegetarian,Italian,90,293,"fried,easy,healthy,soup"
140,Gà Rang Sả,soup,Thai,20,374,"chicken,quick,tet,romantic"
141,Cá Nướng Phô Mai,main,Korean,45,498,"baked,seafood,romantic,chicken"
142,Tôm Sốt Tỏi,soup,Italian,30,244,"sour,noodle,easy,mushroom"
143,Rau Hầm Sả,healthy,Korean,15,122,"easy,vegetarian,low_carb,high_protein"
144,Rau Chiên Ớt,soup,French,15,773,"soup,sour,vegetable,family"
145,Nấm Hầm Me,salad,Italian,45,219,"beef,romantic,dairy_free,sweet"
146,Gà Nướng Mè,noodle,Mexican,15,377,"seafood,dairy_free,low_carb,salad"
147,Đậu Xào Dừa,salad,Japanese,60,224,"easy,pork,family,salad"
148,Nấm Rang Me,dessert,Mexican,120,208,"pork,rice,low_carb,sweet"
149,Mực Chiên Tiêu,breakfast,Italian,15,120,"spicy,tet,sour,steamed"
150,Nấm Nướng Nước Mắm,vegetarian,Mexican,10,120,"grilled,tofu,low_carb,fried"
151,Gà Hầm Mè,appetizer,Korean,40,281,"bread,fried,seafood,vegetarian"
152,Nấm Hầm Ớt,main,Thai,120,411,"chicken,vegan,beef,grilled"
153,Gà Kho Mè,breakfast,French,20,397,"snack,low_carb,party,seafood"
154,Đậu Chiên Me,salad,Korean,90,390,"baked,gluten_free,egg,party"
155,Heo Nướng Dừa,noodle,Mexican,120,172,"high_protein,weekend,soup,baked"
156,Mực Xào Phô Mai,rice,Mexican,15,110,"soup,sour,dessert,fried"
157,Bò Xào Sả,main,Chinese,40,296,"grilled,baked,chicken,seafood"
158,Heo Nướng Ớt,vegetarian,Japanese,45,125,"low_carb,seafood,rice,egg"
159,Cua Xào Tiêu,salad,American,120,731,"mushroom,low_carb,steamed,healthy"
160,Rau Nướng Sả,healthy,Mexican,60,587,"vegan,mushroom,weekend,vegetarian"
161,Cua Chiên Tỏi,soup,Mexican,45,256,"steamed,soup,healthy,sweet"
162,Cua Rang Me,salad,Italian,20,666,"egg,fried,weekend,pork"
163,Gà Rang Nước Mắm,dessert,Korean,10,279,"sour,snack,rice,soup"
164,Cua Hầm Phô Mai,vegetarian,French,40,207,"low_carb,mushroom,steamed,sweet"
165,Cá Kho Tỏi,noodle,French,45,707,"dairy_free,festive,grilled,pork"
166,Cá Hầm Gừng,appetizer,Korean,40,777,"easy,weekend,party,quick_lunch"
167,Cá Hấp Sả,rice,Indian,120,231,"chicken,seafood,soup,noodle"
168,Bò Rang Tỏi,breakfast,Chinese,90,766,"sweet,family,seafood,dairy_free"
169,Cua Xào Gừng,breakfast,Japanese,45,674,"steamed,mushroom,quick_lunch,healthy"
170,Bò Xào Sả,soup,American,30,758,"romantic,dessert,family,quick"
171,Tôm Xào Dừa,dessert,Korean,60,288,"steamed,weekend,dessert,pork"
172,Mực Xào Tỏi,salad,Vietnamese,10,355,"tet,rice,vegetable,family"
173,Heo Chiên Dừa,noodle,Korean,10,437,"tet,vegetable,quick_lunch,gluten_free"
174,Nấm Chiên Gừng,healthy,Thai,90,181,"noodle,bread,chicken,seafood"
175,Đậu Xào Me,appetizer,Vietnamese,40,337,"vegetarian,easy,vegan,romantic"
176,Tôm Chiên Mè,noodle,French,45,510,"vegan,chicken,vegetable,quick"
177,Heo Sốt Tiêu,salad,American,45,746,"vegetarian,tofu,tet,baked"
178,Mực Xào Me,rice,Indian,20,578,"low_carb,party,grilled,rice"
179,Rau Hầm Me,noodle,Italian,30,165,"sour,high_protein,dairy_free,noodle"
180,Heo Nướng Nước Mắm,dessert,Italian,15,288,"spicy,sour,snack,noodle"
181,Tôm Chiên Tiêu,noodle,Indian,10,286,"weekend,soup,tofu,beef"
182,Heo Hấp Tiêu,vegetarian,Italian,20,595,"salad,dessert,vegetarian,romantic"
183,Đậu Chiên Me,breakfast,Mexican,90,200,"snack,healthy,dessert,gluten_free"
184,Bò Rang Tiêu,soup,French,60,421,"spicy,gluten_free,steamed,grilled"
185,Cua Hầm Me,soup,Japanese,20,702,"gluten_free,steamed,high_protein,chicken"
186,Gà Rang Tỏi,soup,Chinese,10,297,"high_protein,low_carb,romantic,quick"
187,Heo Sốt Mè,breakfast,Italian,45,455,"egg,dairy_free,pork,easy"
188,Đậu Kho Gừng,vegetarian,Vietnamese,30,509,"pork,vegetable,egg,vegetarian"
189,Đậu Rang Mè,breakfast,American,10,580,"easy,chicken,quick_lunch,sour"
190,Rau Kho Tỏi,rice,Italian,10,279,"vegetable,mushroom,festive,egg"
191,Cá Rang Mè,rice,Korean,30,781,"seafood,quick_lunch,sour,snack"
192,Bò Kho Sả,main,Italian,60,428,"high_protein,dairy_free,spicy,steamed"
193,Cua Chiên Me,rice,Korean,10,449,"tofu,gluten_free,noodle,beef"
194,Đậu Hấp Gừng,vegetarian,Vietnamese,10,258,"healthy,seafood,mushroom,snack"
195,Heo Xào Gừng,salad,Italian,40,353,"tofu,dairy_free,spicy,chicken"
196,Nấm Kho Dừa,main,Indian,20,101,"festive,gluten_free,tofu,family"
197,Nấm Rang Gừng,vegetarian,Chinese,30,538,"party,dessert,beef,bread"
198,Tôm Sốt Sả,salad,Indian,10,323,"egg,dessert,low_carb,fried"
199,Cua Xào Gừng,soup,Chinese,40,547,"quick,sweet,sour,vegan"
200,Gà Nướng Ớt,main,Japanese,15,180,"easy,beef,vegetable,vegetarian"
201,Đậu Hầm Dừa,soup,French,20,580,"gluten_free,party,dessert,tofu"
202,Bò Rang Gừng,salad,Thai,10,753,"low_carb,gluten_free,healthy,party"
203,Cua Rang Sả,vegetarian,American,15,376,"weekend,bread,low_carb,grilled"
204,Gà Hấp Tiêu,main,Korean,30,233,"vegan,soup,sweet,festive"
205,Cá Kho Sả,dessert,Indian,120,118,"salad,dessert,beef,tet"
206,Cá Sốt Gừng,healthy,American,120,452,"snack,dairy_free,party,fried"
207,Heo Kho Ớt,appetizer,Mexican,30,640,"steamed,romantic,festive,bread"
208,Cá Xào Mè,rice,Korean,45,712,"spicy,sweet,gluten_free,party"
209,Cá Rang Gừng,appetizer,American,45,682,"dessert,vegan,egg,vegetable"
210,Tôm Nướng Mè,salad,Chinese,120,707,"fried,snack,tet,steamed"
211,Đậu Chiên Mè,breakfast,Korean,30,737,"seafood,easy,romantic,dessert"
212,Cá Xào Phô Mai,soup,French,20,736,"quick_lunch,beef,weekend,sour"
213,Heo Hầm Me,vegetarian,Mexican,20,649,"vegetable,gluten_free,baked,easy"
214,Cua Kho Tiêu,main,Mexican,60,412,"party,rice,festive,romantic"
215,Đậu Xào Dừa,main,American,45,350,"mushroom,tofu,fried,easy"
216,Bò Hấp Sả,salad,Mexican,30,334,"tet,snack,healthy,seafood"
217,Tôm Hầm Tiêu,salad,Vietnamese,20,311,"festive,sour,noodle,vegetarian"
218,Cua Hầm Dừa,appetizer,Chinese,60,405,"fried,sour,sweet,egg"
219,Đậu Hấp Sả,healthy,Japanese,15,508,"dairy_free,party,pork,snack"
220,Tôm Rang Dừa,rice,Mexican,45,274,"salad,steamed,high_protein,baked"
221,Nấm Sốt Tiêu,salad,Italian,60,459,"sweet,party,healthy,low_carb"
222,Đậu Xào Tiêu,rice,Indian,10,790,"low_carb,sour,salad,festive"
223,Nấm Sốt Tỏi,dessert,Chinese,15,354,"quick_lunch,noodle,vegan,steamed"
224,Tôm Rang Nước Mắm,noodle,Japanese,90,132,"gluten_free,bread,weekend,rice"
225,Heo Xào Phô Mai,healthy,Italian,30,376,"vegetable,grilled,dairy_free,snack"
226,Cá Sốt Phô Mai,vegetarian,French,20,128,"sweet,festive,party,healthy"
227,Cua Rang Me,salad,American,10,146,"snack,vegetarian,vegan,pork"
228,Nấm Rang Tỏi,dessert,Thai,90,682,"festive,rice,healthy,gluten_free"
229,Mực Kho Tiêu,healthy,Korean,30,267,"snack,egg,grilled,party"
230,Bò Sốt Dừa,vegetarian,Korean,10,641,"baked,rice,high_protein,chicken"
231,Heo Hấp Tỏi,salad,Thai,45,580,"gluten_free,noodle,salad,tet"
232,Cá Kho Me,breakfast,Vietnamese,45,332,"steamed,tofu,quick,soup"
233,Cua Xào Phô Mai,healthy,French,60,480,"high_protein,sweet,mushroom,tet"
234,Heo Hấp Ớt,soup,Indian,45,510,"healthy,tofu,pork,chicken"
235,Heo Kho Sả,soup,Thai,15,644,"sour,soup,romantic,fried"
236,Cá Kho Tiêu,dessert,Korean,20,469,"fried,tofu,party,chicken"
237,Nấm Kho Sả,vegetarian,American,20,452,"quick_lunch,festive,beef,family"
238,Bò Xào Gừng,vegetarian,Vietnamese,15,334,"mushroom,party,salad,romantic"
239,Tôm Hầm Tiêu,appetizer,Chinese,90,718,"egg,seafood,salad,grilled"
240,Gà Xào Phô Mai,rice,Thai,30,407,"seafood,sour,steamed,festive"
241,Gà Kho Phô Mai,vegetarian,Italian,30,285,"high_protein,soup,vegetarian,low_carb"
242,Gà Xào Tỏi,noodle,Vietnamese,60,558,"chicken,vegetable,gluten_free,quick_lunch"
243,Tôm Hầm Sả,vegetarian,Thai,30,209,"egg,spicy,quick,sour"
244,Bò Xào Nước Mắm,appetizer,Chinese,120,678,"sour,dairy_free,mushroom,salad"
245,Mực Hầm Gừng,salad,French,30,558,"seafood,noodle,dessert,chicken"
246,Rau Sốt Dừa,vegetarian,Indian,30,598,"weekend,steamed,vegetable,low_carb"
247,Mực Hầm Mè,breakfast,Indian,40,407,"seafood,mushroom,gluten_free,chicken"
248,Heo Chiên Ớt,salad,Vietnamese,40,538,"festive,gluten_free,salad,grilled"
249,Nấm Hấp Nước Mắm,main,American,90,337,"spicy,easy,weekend,family"
250,Mực Nướng Tỏi,main,Vietnamese,45,603,"romantic,high_protein,festive,seafood"
251,Tôm Chiên Phô Mai,vegetarian,French,15,199,"grilled,dessert,vegetarian,low_carb"
252,Cua Nướng Tỏi,appetizer,Indian,120,619,"low_carb,mushroom,baked,pork"
253,Heo Xào Phô Mai,noodle,Thai,15,166,"gluten_free,romantic,vegetable,pork"
254,Nấm Nướng Phô Mai,salad,French,40,644,"sour,tet,rice,fried"
255,Rau Xào Tiêu,healthy,Japanese,45,242,"vegetarian,soup,dessert,mushroom"
256,Bò Hầm Gừng,breakfast,American,60,428,"salad,soup,gluten_free,festive"
257,Đậu Chiên Ớt,main,Mexican,20,604,"pork,vegan,salad,quick_lunch"
258,Nấm Kho Tỏi,vegetarian,Thai,10,100,"sweet,festive,quick,spicy"
259,Nấm Hầm Mè,vegetarian,Italian,60,226,"quick_lunch,baked,salad,grilled"
260,Nấm Sốt Sả,appetizer,Vietnamese,90,100,"chicken,healthy,sweet,spicy"
261,Nấm Hấp Tỏi,rice,Mexican,15,430,"low_carb,high_protein,mushroom,party"
262,Cá Kho Me,salad,Vietnamese,10,443,"steamed,mushroom,quick,salad"
263,Đậu Hấp Tiêu,main,Japanese,10,501,"beef,vegan,sweet,dessert"
264,Nấm Nướng Phô Mai,noodle,Vietnamese,20,409,"dairy_free,tet,noodle,spicy"
265,Gà Kho Me,vegetarian,Italian,10,141,"baked,vegetable,seafood,pork"
266,Heo Rang Ớt,main,Korean,60,380,"gluten_free,weekend,beef,family"
267,Cua Xào Gừng,healthy,Korean,60,410,"tofu,easy,rice,weekend"
268,Heo Hầm Nước Mắm,rice,Chinese,15,236,"pork,soup,romantic,bread"
269,Cua Kho Sả,noodle,French,10,211,"pork,high_protein,dairy_free,rice"
270,Mực Sốt Me,rice,Vietnamese,120,637,"seafood,low_carb,healthy,grilled"
271,Heo Xào Me,noodle,Vietnamese,45,311,"chicken,bread,gluten_free,dessert"
272,Tôm Xào Gừng,rice,Japanese,30,596,"mushroom,dairy_free,soup,vegetable"
273,Cua Hầm Sả,appetizer,Korean,10,391,"family,chicken,fried,festive"
274,Tôm Chiên Tỏi,healthy,Chinese,60,352,"sour,dessert,gluten_free,romantic"
275,Đậu Hấp Ớt,dessert,Indian,90,171,"noodle,low_carb,tet,vegetable"
276,Rau Sốt Ớt,main,Korean,45,431,"easy,salad,egg,high_protein"
277,Nấm Nướng Tiêu,rice,French,15,381,"quick_lunch,sweet,steamed,baked"
278,Rau Rang Dừa,noodle,Vietnamese,45,178,"baked,romantic,dairy_free,quick"
279,Gà Chiên Tiêu,vegetarian,French,20,533,"snack,tet,gluten_free,seafood"
280,Cá Kho Tỏi,main,Chinese,90,557,"tet,festive,tofu,easy"
281,Nấm Hầm Tỏi,salad,Italian,10,539,"dessert,low_carb,chicken,bread"
282,Rau Xào Gừng,salad,Italian,60,500,"steamed,gluten_free,bread,snack"
283,Bò Rang Nước Mắm,breakfast,Korean,120,455,"vegetable,snack,vegetarian,healthy"
284,Heo Xào Dừa,noodle,Chinese,60,213,"seafood,sweet,mushroom,chicken"
285,Bò Xào Mè,appetizer,Thai,40,565,"grilled,salad,festive,seafood"
286,Tôm Hầm Me,soup,Korean,10,454,"family,vegan,grilled,dairy_free"
287,Gà Sốt Tỏi,healthy,Korean,40,757,"weekend,sour,spicy,fried"
288,Rau Rang Me,appetizer,Chinese,40,276,"festive,fried,chicken,salad"
289,Mực Xào Sả,healthy,Vietnamese,120,250,"sour,vegetable,healthy,dairy_free"
290,Bò Hầm Tỏi,healthy,Japanese,45,496,"easy,snack,sour,seafood"
291,Bò Xào Tiêu,main,American,30,791,"high_protein,mushroom,gluten_free,baked"
292,Cua Xào Mè,healthy,Chinese,20,750,"snack,party,easy,grilled"
293,Mực Rang Me,dessert,Chinese,45,525,"soup,gluten_free,grilled,quick"
294,Cua Rang Ớt,noodle,Korean,120,483,"quick_lunch,vegetable,seafood,festive"
295,Mực Xào Gừng,dessert,Vietnamese,30,706,"mushroom,dairy_free,weekend,fried"
296,Tôm Hầm Tiêu,salad,Indian,45,392,"family,chicken,bread,salad"
297,Cua Rang Mè,vegetarian,Chinese,30,359,"soup,spicy,family,beef"
298,Nấm Sốt Tỏi,appetizer,American,30,525,"weekend,high_protein,family,party"
299,Cá Rang Nước Mắm,rice,Thai,45,240,"gluten_free,baked,quick_lunch,noodle"
300,Cua Sốt Dừa,healthy,Korean,90,219,"vegetarian,weekend,salad,pork"
301,Bò Xào Nước Mắm,vegetarian,French,120,548,"romantic,tet,family,grilled"
302,Mực Hấp Mè,main,Mexican,120,247,"tofu,chicken,mushroom,dairy_free"
303,Gà Nướng Gừng,rice,Chinese,45,427,"salad,tet,romantic,vegetarian"
304,Mực Kho Ớt,rice,French,45,393,"steamed,quick,soup,egg"
305,Tôm Xào Mè,noodle,Chinese,10,401,"vegetarian,romantic,family,festive"
306,Rau Hấp Ớt,breakfast,Korean,120,286,"grilled,noodle,rice,sour"
307,Heo Kho Tiêu,main,Korean,90,633,"chicken,romantic,pork,quick_lunch"
308,Mực Hầm Nước Mắm,noodle,French,30,204,"baked,dessert,romantic,tet"
309,Bò Nướng Me,vegetarian,Chinese,45,405,"snack,vegan,pork,high_protein"
310,Cua Sốt Tiêu,noodle,Vietnamese,40,354,"grilled,rice,fried,vegan"
311,Nấm Kho Sả,breakfast,French,120,364,"healthy,weekend,low_carb,snack"
312,Bò Hấp Gừng,main,Indian,30,231,"chicken,seafood,tofu,spicy"
